oldid,city,country,latitude,longitude,name,store_id
10524,Fountain Hills,US,33.60958480834961,-111.72554779052734,E. Palisades & Ave of the Fountain,14754
10592,Tempe,US,33.362892150878906,-111.91067504882812,Guadalupe & McClintock,14842
10622,Phoenix,US,33.488399505615234,-112.08187103271484,Safeway-Phoenix #174,14883
10626,Tempe,US,33.42167663574219,-111.95195770263672,"University & Hardy, Tempe",14887
10687,Glendale,US,33.53936767578125,-112.35675048828125,Main Exchange Mall,14967
10865,Chandler,US,33.261104583740234,-111.8603286743164,"Queen Creek & Alma School, Chandler",15199
11131,Avondale,US,33.49335861206055,-112.28665161132812,"Indian School & 107 Ave, Avondale",15565
11162,Phoenix,US,33.51118850708008,-112.01455688476562,Safeway - Phoenix #2042,15602
11178,GOODYEAR,US,33.46221160888672,-112.35576629638672,"Litchfield & McDowell, Goodyear",15623
11186,Scottsdale,US,33.49468994140625,-111.92635345458984,Scottsdale & Indian School,15635
11258,Goodyear,US,33.4857177734375,-112.36407470703125,Safeway-Goodyear #1511,15741
11262,Surprise,US,33.63945770263672,-112.35231018066406,"Bell & Grand, Surprise",15747
11290,Peoria,US,33.68170166015625,-112.23606872558594,Albertsons-Peoria #991,15787
11294,Higley,US,33.32573318481445,-111.68717956542969,"Power & Loop 202, Gilbert",15791
11295,Gilbert,US,33.28139114379883,-111.78892517089844,"Gilbert & Loop 202, Phoenix",15792
11296,Phoenix,US,33.71107482910156,-112.11144256591797,"Happy Valley & I-17, Phoenix",15793
11315,Avondale,US,33.434207916259766,-112.30519104003906,"115th Ave. & Buckeye, Avondale",15818
11405,Chandler,US,33.23371887207031,-111.85984802246094,Safeway-Chandler #1566,15935
11407,Mesa,US,33.383541107177734,-111.87440490722656,Dobson & Freeway,15938
11415,Phoenix,US,33.483299255371094,-112.07504272460938,Park Central Mall - Phoenix,15947
11418,Phoenix,US,33.6019172668457,-111.98306274414062,Paradise Valley Mall,15950
11464,Mesa,US,33.38425064086914,-111.80300903320312,Stapley & Freeway 60,16019
11529,Chandler,US,33.305877685546875,-111.94743347167969,"Chandler & Kyrene, Chandler",16107
11538,Phoenix,US,33.6849479675293,-111.96849060058594,Marriott Desert Ridge - Lobby,16118
11622,Peoria,US,33.610435485839844,-112.22037506103516,"75th Avenue & Thurderbird, Peoria",16225
11827,Phoenix,US,33.6759147644043,-111.97183227539062,Desert Ridge Mall Food Court,16498
11901,Scottsdale,US,33.69989776611328,-111.92469787597656,Scottsdale & Pinnacle Peak,16592
11914,Chandler,US,33.217769622802734,-111.79090881347656,Albertsons-Chandler #1021,16607
12035,Phoenix,US,33.508541107177734,-112.02884674072266,Esplanade,16769
12065,Phoenix,US,33.43565368652344,-112.0086669921875,PHX-T3 Lobby,16806
12089,Phoenix,US,33.45208740234375,-112.06929779052734,"3rd & Van Buren St., Phoenix",16840
12124,Phoenix,US,33.30328369140625,-111.99640655517578,Safeway-Phoenix #1201,16893
12135,Phoenix,US,33.64023208618164,-112.01103210449219,"32nd Street & Bell Rd, Phoenix",16910
12136,Phoenix,US,33.37908935546875,-112.03417205810547,Target S. Mountain Phoenix T-1905,16911
12173,Tempe,US,33.43440246582031,-111.92601013183594,"Rural & Loop 202, Tempe",16966
12271,Phoenix,US,33.507389068603516,-112.04261016845703,Fry's #129 Phoenix,17094
12272,Litchfield Park,US,33.50994873046875,-112.34090423583984,Bashas' Litchfield Park #130,17095
12324,Mesa,US,33.450984954833984,-111.80321502685547,"Stapley & McKellips, Mesa",17165
12346,Mesa,US,33.378662109375,-111.59927368164062,Bashas' Mesa #155,17202
12347,Queen Creek,US,33.232364654541016,-111.68585968017578,Bashas' Queen Creek #46,17203
12421,Surprise,US,33.65578842163086,-112.37409973144531,"Grand & Reems, Surprise",17296
12457,Phoenix,US,33.46544647216797,-112.0829849243164,"701 W. McDowell, Phx",17342
12458,Chandler,US,33.2344970703125,-111.7908935546875,Chandler Heights & Gilbert,17343
12477,Peoria,US,33.70991897583008,-112.27266693115234,Super Target Peoria T-2227,17369
12489,Phoenix,US,33.48044967651367,-112.11167907714844,"I-17 & Thomas, Phoenix",17383
12490,Litchfield Park,US,33.508968353271484,-112.34149169921875,"Dysart & Camelback, Phoenix",17384
12655,Gilbert,US,33.33538818359375,-111.80748748779297,Albertsons-Gilbert #1023,17620
12739,Chandler,US,33.321327209472656,-111.91161346435547,"McClintock & Ray, Chandler",17715
12795,Scottsdale,US,33.49382781982422,-111.90748596191406,Bashas' - Scottsdale #7,17792
12797,Chandler,US,33.234344482421875,-111.79084014892578,Bashas' - Chandler #161,17794
12815,Peoria,US,33.668670654296875,-112.27862548828125,Bashas' Peoria #102,17817
12949,Phoenix,US,33.580780029296875,-111.88182830810547,Fry's #125 Phoenix,17991
